A,R,S,τ
1200.0,1150.0,46.55034691406423,97.63520448093449
1200.0,1200.0,50.86759154328937,96.5314570992339
1200.0,1250.0,55.368241432436506,95.56160905891595
1200.0,1300.0,60.052332132027516,94.69381412972075
1200.0,1350.0,64.9198921630645,93.91712484486129
1200.0,1400.0,69.97094466098466,93.22466697591886
1200.0,1450.0,75.20550845377376,92.6012818564382
1200.0,1500.0,80.62359905803233,92.03493059320745
1200.0,1550.0,86.22522926953025,91.52559855880293
1200.0,1600.0,92.01040971647659,91.05326198358081
1200.0,1650.0,97.97914932169844,90.63285141333364
1200.0,1700.0,104.1314554389848,90.24775781924684
1200.0,1750.0,110.46733436541358,89.88567804552056
1200.0,1800.0,116.98679133062484,89.56507676523691
1200.0,1850.0,123.68983074679242,89.27004923127178
1200.0,1900.0,130.57645627643888,88.99406239167091
1200.0,1950.0,137.64667119336144,88.73788657490232
1200.0,2000.0,144.90047801209113,88.5058493372262
1200.0,2050.0,152.33787892496966,88.28781663342205
1200.0,2100.0,159.95887580022307,88.08867186538448
1200.0,2150.0,167.76347011232605,87.90792286727113
1200.0,2200.0,175.75166318517697,87.73923491849504
1200.0,2250.0,183.92345578775976,87.57787501892375
1200.0,2300.0,192.27884887837467,87.43110911495646
1200.0,2350.0,200.8178429992044,87.2980876158349
1200.0,2400.0,209.5404385569119,87.17362757045258
1200.0,2450.0,218.44663585253298,87.05421987495372
1200.0,2500.0,227.53643499962658,86.94659753990932
1200.0,2550.0,236.80983599887878,86.84723578647626
1200.0,2600.0,246.26683870255778,86.7528468082446
1200.0,2650.0,255.9074432158313,86.66513029958284
1200.0,2700.0,265.7316489660975,86.58781415820629
1200.0,2750.0,275.7394557597556,86.51326484744236
1200.0,2800.0,285.9308631098702,86.44750011940904
1200.0,2850.0,296.3058705500714,86.38189741815296
1200.0,2900.0,306.86447751550605,86.32092037305672
1200.0,2950.0,317.60668348993164,86.26734161761027
1200.0,3000.0,328.5324876572182,86.21726199114993
1200.0,3050.0,339.6418895140597,86.17139251404615
1200.0,3100.0,350.9348881145474,86.13107927035871
1200.0,3150.0,362.41148285354876,86.09114328756635
1200.0,3200.0,374.07167272989193,86.05986721500305
1200.0,3250.0,385.9154569384294,86.02529202948878
1200.0,3300.0,397.94283453321594,85.99997278909679
1200.0,3350.0,410.153804603922,85.9729574831716
1200.0,3400.0,422.54836615309915,85.95169400147714
1200.0,3450.0,435.1265182510644,85.92837624566403
1200.0,3500.0,447.8882596216695,85.90638721735291
1200.0,3550.0,460.8335894343452,85.89091745041948
1200.0,3600.0,473.96250647740175,85.87705313513084
1200.0,3650.0,487.27500980911304,85.86789383198945
1200.0,3700.0,500.77109781045544,85.85379772427336
1200.0,3750.0,514.4507697811638,85.84385356816306
1200.0,3800.0,528.3140243336235,85.83704093098564
1200.0,3850.0,542.3608601944563,85.83272268595108
1200.0,3900.0,556.5912761781447,85.8295589695379
1200.0,3950.0,571.0052709498814,85.82796961921973
1200.0,4000.0,585.6028431235661,85.82679219138602
1200.0,4050.0,600.383991824248,85.82383917710283
1200.0,4100.0,615.3487152692231,85.8296095446551
1200.0,4150.0,630.4970120655207,85.83332231276592
1200.0,4200.0,645.8288810378053,85.83479008636995
1200.0,4250.0,661.3443206817946,85.8378136712674
1200.0,4300.0,677.043329601425,85.84545180389658
1200.0,4350.0,692.9259063263937,85.8529123624117
1200.0,4400.0,708.9920494103368,85.8610154305261
1200.0,4450.0,725.2417573085071,85.87035860683964
1200.0,4500.0,741.6750285656792,85.87753680579229
1200.0,4550.0,758.2918616275645,85.88752286083721
1200.0,4600.0,775.0922552387772,85.90136094891133
1200.0,4650.0,792.0762069725549,85.91364159321621
1200.0,4700.0,809.2437163241526,85.92402887307199
1200.0,4750.0,826.5947805880676,85.93466907416253
1200.0,4800.0,844.1293988218314,85.95203734737515
1200.0,4850.0,861.8475699499147,85.96640112037709
1200.0,4900.0,879.7492912083702,85.981205338371
1200.0,4950.0,897.8345613618545,85.99699988244173
1200.0,5000.0,916.1033787482148,86.0119479441372
1200.0,5050.0,934.5557415608407,86.03213667397125
1200.0,5100.0,953.1916481407667,86.0470829299652
1200.0,5150.0,972.0110966383778,86.06264513372655
1200.0,5200.0,991.014085229245,86.08401529611267
1200.0,5250.0,1010.2006126356233,86.09912202146796
1200.0,5300.0,1029.5706761738209,86.11810370320349
1200.0,5350.0,1049.1242747921865,86.13672783271053
1200.0,5400.0,1068.8614062733288,86.16116428272623
1200.0,5450.0,1088.7820687895653,86.18111733248809
1200.0,5500.0,1108.8862604561277,86.19944517686086
1200.0,5550.0,1129.1739795406365,86.22022454197936
1200.0,5600.0,1149.6452239399387,86.24057404429357
1200.0,5650.0,1170.299991779955,86.26546797106609
1200.0,5700.0,1191.1382813415835,86.28392737762276
1200.0,5750.0,1212.1600899026612,86.30592727453445
1200.0,5800.0,1233.3654164067234,86.33373728762376
1200.0,5850.0,1254.7542583613504,86.35511399569685
1200.0,5900.0,1276.3266138314248,86.37780048258941
1200.0,5950.0,1298.0824808126868,86.40028551797093
1200.0,6000.0,1320.0218571898681,86.42326956355932
1250.0,1000.0,35.05654113726771,101.3770660339848
1250.0,1050.0,38.8605258605492,99.75043508026442
1250.0,1100.0,42.84953417777224,98.3335183585464
1250.0,1150.0,47.02363839047588,97.09807215419254
1250.0,1200.0,51.38289464342051,96.01314230286476
1250.0,1250.0,55.927347071246494,95.0560116574256
1250.0,1300.0,60.6570308051162,94.20183113184683
1250.0,1350.0,65.57197405091574,93.43539083104304
1250.0,1400.0,70.67219962315855,92.74803612212808
1250.0,1450.0,75.95772616060226,92.13313474099508
1250.0,1500.0,81.42856896684913,91.5749328216596
1250.0,1550.0,87.0847407033779,91.06840462817851
1250.0,1600.0,92.92625187223025,90.60665740547955
1250.0,1650.0,98.95311124813634,90.19346556476343
1250.0,1700.0,105.16532609875436,89.80907293893802
1250.0,1750.0,111.56290266122426,89.45622100813576
1250.0,1800.0,118.1458460495459,89.13472607583478
1250.0,1850.0,124.91416063416389,88.84406397126453
1250.0,1900.0,131.86785008763,88.57230396838628
1250.0,1950.0,139.00691742211447,88.32064377204772
1250.0,2000.0,146.33136535065225,88.09466064367918
1250.0,2050.0,153.84119588802207,87.88265092642268
1250.0,2100.0,161.53641086932322,87.68451902609993
1250.0,2150.0,169.41701178481648,87.50677344686476
1250.0,2200.0,177.48299984001932,87.33927865370697
1250.0,2250.0,185.7343758260954,87.18359210609954
1250.0,2300.0,194.1711406413333,87.03754952541854
1250.0,2350.0,202.79329485077912,86.90730268058758
1250.0,2400.0,211.60083878403972,86.78339660393755
1250.0,2450.0,220.5937726975422,86.66640283032028
