t,M,P,model,gene
109.0,0.8001444630237906,44.15469761348647,Repressilator,Gene 2
110.0,1.4268474897149186,80.04574872144285,Repressilator,Gene 2
111.0,2.3789633015273988,142.1471131473161,Repressilator,Gene 2
112.0,3.637997771538337,241.00839585546527,Repressilator,Gene 2
113.0,5.0702613919113935,383.2391598883918,Repressilator,Gene 2
114.0,6.491974626771565,567.3545163023318,Repressilator,Gene 2
115.0,7.760591527695146,784.1274340291739,Repressilator,Gene 2
116.0,8.810279755819478,1020.3860856640823,Repressilator,Gene 2
117.0,9.635776713753248,1262.9853917717435,Repressilator,Gene 2
118.0,10.263508518148114,1501.1468207586306,Repressilator,Gene 2
119.0,10.730356200774546,1727.1926005245894,Repressilator,Gene 2
